analysis,feature,label,effect,ci_low,ci_high,p_value,n_rows,n_tasks,r_squared
No-search semantic accuracy,age_90,Event is 3 months older,0.05655997116071925,0.037503908549307255,0.07561603377213125,5.979311392677556e-09,5316,1129,0.2429209092152792
No-search semantic accuracy,composed,Quantitative / composed,-0.08748680966617194,-0.115700918247997,-0.059272701084346874,1.2207739297037997e-09,5316,1129,0.2429209092152792
No-search semantic accuracy,multi_year,References multiple years,0.017407789713206556,-0.03135621029790255,0.06617178972431567,0.48413427408639165,5316,1129,0.2429209092152792
No-search semantic accuracy,temporal_scope,Explicit temporal scope,0.013583793066544038,-0.016350033807682785,0.04351761994077086,0.37377738434736296,5316,1129,0.2429209092152792
No-search semantic accuracy,source_constrained,Names a source / authority,-0.005926916632597111,-0.034199297512616404,0.022345464247422182,0.6811608581752575,5316,1129,0.2429209092152792
No-search semantic accuracy,q_words_10,10 additional question words,-0.0014850193832652092,-0.010149106657050634,0.007179067890520215,0.7369186341284721,5316,1129,0.2429209092152792
Normalized semantic accuracy,age_90,Event is 3 months older,-0.025783497061513817,-0.05209021638104648,0.0005232222580188427,0.054734018285026935,5316,1129,0.049106494639337694
Normalized semantic accuracy,composed,Quantitative / composed,-0.1331699303893244,-0.17120301610178887,-0.09513684467685993,6.758833144713351e-12,5316,1129,0.049106494639337694
Normalized semantic accuracy,multi_year,References multiple years,-0.025274871526407203,-0.08891290177374776,0.03836315872093336,0.43631476204942043,5316,1129,0.049106494639337694
Normalized semantic accuracy,temporal_scope,Explicit temporal scope,0.010558713822376494,-0.030099310653683656,0.05121673829843665,0.6107562865921484,5316,1129,0.049106494639337694
Normalized semantic accuracy,source_constrained,Names a source / authority,-0.033262925782206486,-0.07417737991018097,0.007651528345768002,0.11106475784030524,5316,1129,0.049106494639337694
Normalized semantic accuracy,q_words_10,10 additional question words,-0.010000291822661976,-0.02359967879879673,0.0035990951534727762,0.1495120877289615,5316,1129,0.049106494639337694
Retrieval gain,age_90,Event is 3 months older,-0.08234346822223332,-0.10916992894131376,-0.055517007503152874,1.7868724593018828e-09,5316,1129,0.13606293378551393
Retrieval gain,composed,Quantitative / composed,-0.045683120723152365,-0.08587865569276557,-0.005487585753539158,0.025911023974268373,5316,1129,0.13606293378551393
Retrieval gain,multi_year,References multiple years,-0.042682661239614145,-0.11278108248452084,0.027415760005292555,0.23270704295649214,5316,1129,0.13606293378551393
Retrieval gain,temporal_scope,Explicit temporal scope,-0.0030250792441680074,-0.04535700859649481,0.0393068501081588,0.8886119060448463,5316,1129,0.13606293378551393
Retrieval gain,source_constrained,Names a source / authority,-0.027336009149608834,-0.06946620736121797,0.014794189062000314,0.20347449697967412,5316,1129,0.13606293378551393
Retrieval gain,q_words_10,10 additional question words,-0.008515272439396895,-0.022482488693417638,0.005451943814623847,0.2321204909580401,5316,1129,0.13606293378551393
