arm,model,age_bin,outcome,rate,ci_low,ci_high,n_rows,n_tasks
No search,GLM-5.2,Newest: 8–9 mo,gated,0.019801980198019802,0.0049504950495049506,0.039603960396039604,317,202
No search,GLM-5.2,Newest: 8–9 mo,judge,0.0297029702970297,0.009900990099009901,0.054455445544554455,317,202
No search,GLM-5.2,10–11 mo,gated,0.01084010840108401,0.0027100271002710027,0.02168021680216802,454,369
No search,GLM-5.2,10–11 mo,judge,0.016260162601626018,0.005420054200542005,0.02981029810298103,454,369
No search,GLM-5.2,12–13 mo,gated,0.0035211267605633804,0.0,0.01056338028169014,284,284
No search,GLM-5.2,12–13 mo,judge,0.017605633802816902,0.0035211267605633804,0.035211267605633804,284,284
No search,GLM-5.2,Oldest: 14–16 mo,gated,0.01824817518248175,0.0036496350364963502,0.0364963503649635,274,274
No search,GLM-5.2,Oldest: 14–16 mo,judge,0.051094890510948905,0.025547445255474453,0.07664233576642336,274,274
No search,DeepSeek V4,Newest: 8–9 mo,gated,0.04455445544554455,0.019801980198019802,0.07425742574257425,317,202
No search,DeepSeek V4,Newest: 8–9 mo,judge,0.06930693069306931,0.034653465346534656,0.10396039603960396,317,202
No search,DeepSeek V4,10–11 mo,gated,0.04336043360433604,0.024390243902439025,0.06504065040650407,454,369
No search,DeepSeek V4,10–11 mo,judge,0.07317073170731707,0.04878048780487805,0.1002710027100271,454,369
No search,DeepSeek V4,12–13 mo,gated,0.028169014084507043,0.01056338028169014,0.04929577464788732,284,284
No search,DeepSeek V4,12–13 mo,judge,0.07042253521126761,0.04225352112676056,0.10211267605633803,284,284
No search,DeepSeek V4,Oldest: 14–16 mo,gated,0.04744525547445255,0.021897810218978103,0.072992700729927,274,274
No search,DeepSeek V4,Oldest: 14–16 mo,judge,0.10583941605839416,0.072992700729927,0.14233576642335766,274,274
No search,GPT-5.6 Terra,Newest: 8–9 mo,gated,0.16666666666666666,0.11764705882352941,0.2181372549019608,321,204
No search,GPT-5.6 Terra,Newest: 8–9 mo,judge,0.32598039215686275,0.2647058823529412,0.3897058823529412,321,204
No search,GPT-5.6 Terra,10–11 mo,gated,0.27540106951871657,0.23128342245989306,0.3181818181818182,457,374
No search,GPT-5.6 Terra,10–11 mo,judge,0.5147058823529411,0.46524064171123,0.5628342245989305,457,374
No search,GPT-5.6 Terra,12–13 mo,gated,0.29432624113475175,0.24468085106382978,0.3475177304964539,282,282
No search,GPT-5.6 Terra,12–13 mo,judge,0.5354609929078015,0.4787234042553192,0.5921985815602837,282,282
No search,GPT-5.6 Terra,Oldest: 14–16 mo,gated,0.31970260223048325,0.26394052044609667,0.3754646840148699,269,269
No search,GPT-5.6 Terra,Oldest: 14–16 mo,judge,0.6505576208178439,0.5910780669144982,0.7063197026022305,269,269
