model,age_bin,outcome,gain,ci_low,ci_high,n_rows,n_tasks
GLM-5.2,Newest: 8–9 mo,gated_gain,0.3480392156862745,0.2867647058823529,0.41421568627450983,321,204
GLM-5.2,Newest: 8–9 mo,judge_gain,0.8063725490196079,0.7524509803921569,0.8553921568627451,321,204
GLM-5.2,10–11 mo,gated_gain,0.3663101604278075,0.3181818181818182,0.4157754010695187,457,374
GLM-5.2,10–11 mo,judge_gain,0.7633689839572193,0.7205882352941176,0.8061497326203209,457,374
GLM-5.2,12–13 mo,gated_gain,0.3546099290780142,0.2978723404255319,0.41134751773049644,282,282
GLM-5.2,12–13 mo,judge_gain,0.7872340425531915,0.7375886524822695,0.8333333333333334,282,282
GLM-5.2,Oldest: 14–16 mo,gated_gain,0.30855018587360594,0.2527881040892193,0.3643122676579926,269,269
GLM-5.2,Oldest: 14–16 mo,judge_gain,0.7137546468401487,0.6579925650557621,0.7657992565055762,269,269
DeepSeek V4,Newest: 8–9 mo,gated_gain,0.3193069306930693,0.2524752475247525,0.38613861386138615,317,202
DeepSeek V4,Newest: 8–9 mo,judge_gain,0.7648514851485149,0.7054455445544554,0.8193069306930693,317,202
DeepSeek V4,10–11 mo,gated_gain,0.3333333333333333,0.2845528455284553,0.38482384823848237,454,369
DeepSeek V4,10–11 mo,judge_gain,0.7317073170731707,0.6829268292682927,0.7791666666666661,454,369
DeepSeek V4,12–13 mo,gated_gain,0.3274647887323944,0.2746478873239437,0.38380281690140844,284,284
DeepSeek V4,12–13 mo,judge_gain,0.7323943661971831,0.6795774647887324,0.7816901408450704,284,284
DeepSeek V4,Oldest: 14–16 mo,gated_gain,0.2956204379562044,0.24087591240875914,0.35036496350364965,274,274
DeepSeek V4,Oldest: 14–16 mo,judge_gain,0.6751824817518248,0.6167883211678832,0.7299270072992701,274,274
GPT-5.6 Terra,Newest: 8–9 mo,gated_gain,0.2599009900990099,0.19554455445544555,0.32425742574257427,317,202
GPT-5.6 Terra,Newest: 8–9 mo,judge_gain,0.5297029702970297,0.4628712871287129,0.5965346534653465,317,202
GPT-5.6 Terra,10–11 mo,gated_gain,0.1910569105691057,0.14227642276422764,0.23983739837398374,454,369
GPT-5.6 Terra,10–11 mo,judge_gain,0.34823848238482386,0.2940379403794038,0.4037940379403794,454,369
GPT-5.6 Terra,12–13 mo,gated_gain,0.11619718309859155,0.05985915492957746,0.17262323943661842,284,284
GPT-5.6 Terra,12–13 mo,judge_gain,0.31338028169014087,0.25,0.3767605633802817,284,284
GPT-5.6 Terra,Oldest: 14–16 mo,gated_gain,0.05474452554744526,0.010948905109489052,0.09854014598540146,274,274
GPT-5.6 Terra,Oldest: 14–16 mo,judge_gain,0.17883211678832117,0.12408759124087591,0.23357664233576642,274,274
Claude Sonnet 5,Newest: 8–9 mo,gated_gain,0.3163265306122449,0.25255102040816324,0.38010204081632654,308,196
Claude Sonnet 5,Newest: 8–9 mo,judge_gain,0.7219387755102041,0.6607142857142857,0.7806122448979592,308,196
Claude Sonnet 5,10–11 mo,gated_gain,0.24390243902439024,0.19647696476964768,0.2899728997289973,457,369
Claude Sonnet 5,10–11 mo,judge_gain,0.510840108401084,0.45663956639566394,0.5636856368563685,457,369
Claude Sonnet 5,12–13 mo,gated_gain,0.20848056537102475,0.1519434628975265,0.26501766784452296,283,283
Claude Sonnet 5,12–13 mo,judge_gain,0.5265017667844523,0.45936395759717313,0.5901060070671378,283,283
Claude Sonnet 5,Oldest: 14–16 mo,gated_gain,0.18149466192170818,0.13167259786476868,0.2313167259786477,281,281
Claude Sonnet 5,Oldest: 14–16 mo,judge_gain,0.4412811387900356,0.3807829181494662,0.501779359430605,281,281
