model,analysis,effect_per_90d,ci_low,ci_high,p_value,n_rows,n_tasks
GLM-5.2,No-search semantic accuracy,0.007274944708171692,-0.009481425623108582,0.024031315039451967,0.3948038820211851,1329,1129
GLM-5.2,Normalized semantic accuracy,-0.025460140125546808,-0.05717121757493331,0.006250937323839696,0.11557698996758672,1329,1129
GLM-5.2,Retrieval gain,-0.032735084833718495,-0.06777334394111205,0.00230317427367506,0.06708122728955519,1329,1129
DeepSeek V4,No-search semantic accuracy,0.01757967600925838,-0.006271515408853231,0.04143086742737,0.14856908602520122,1329,1129
DeepSeek V4,Normalized semantic accuracy,-0.03562092726455966,-0.06664712589823756,-0.004594728630881773,0.024435061345542856,1329,1129
DeepSeek V4,Retrieval gain,-0.05320060327381805,-0.09032105555404368,-0.016080150993592425,0.004969599624263522,1329,1129
GPT-5.6 Terra,No-search semantic accuracy,0.11624888711011006,0.07867255418003072,0.1538252200401894,1.3320098511912788e-09,1329,1129
GPT-5.6 Terra,Normalized semantic accuracy,-0.019494230885364276,-0.04823806222619606,0.009249600455467504,0.18376260544410783,1329,1129
GPT-5.6 Terra,Retrieval gain,-0.1357431179954741,-0.1742602719507572,-0.09722596404019099,4.937762520078308e-12,1329,1129
Claude Sonnet 5,No-search semantic accuracy,0.08513637681533978,0.05182215474618179,0.11845059888449777,5.477082008619052e-07,1329,1129
Claude Sonnet 5,Normalized semantic accuracy,-0.02255868997057779,-0.05311341196311632,0.007996032021960735,0.1478828339436924,1329,1129
Claude Sonnet 5,Retrieval gain,-0.10769506678591775,-0.1469098644479147,-0.06848026912392079,7.340838590873079e-08,1329,1129
