outcome,spec,model,contrast,estimate,se,ci_low,ci_high,p,p_bh
judge,treatment_only_all_arms,Claude Sonnet 5,Normalized - No search (retrieval gain),0.5455229495861523,0.01170969681679252,0.522571943825239,0.5684739553470657,0.0,0.0
judge,treatment_only_all_arms,Claude Sonnet 5,Wide - Normalized (result tier),0.031612054604014984,0.011710171095579884,0.008660119256678412,0.05456398995135156,0.006943577665913117,0.011572629443188528
judge,treatment_only_all_arms,Claude Sonnet 5,Native - Normalized (implementation),-0.004510678393804826,0.011709783450639324,-0.0274618539570579,0.018440497169448247,0.7000848268315489,0.7000848268315489
judge,treatment_only_all_arms,DeepSeek V4,Normalized - No search (retrieval gain),0.7261098570353548,0.011709696816792747,0.703158851274441,0.7490608627962686,0.0,0.0
judge,treatment_only_all_arms,DeepSeek V4,Wide - Normalized (result tier),0.024068908526171738,0.01171017109558011,0.0011169731788347216,0.04702084387350876,0.03984184544357762,0.04980230680447202
judge,treatment_only_all_arms,GLM-5.2,Normalized - No search (retrieval gain),0.7637414752210028,0.011710171095580108,0.7407895398736658,0.7866934105683397,0.0,0.0
judge,treatment_only_all_arms,GLM-5.2,Wide - Normalized (result tier),0.021802521735268504,0.011711534344680767,-0.0011520855803058005,0.04475712905084281,0.06265552594028928,0.07371238345916387
judge,treatment_only_all_arms,GPT-5.6 Terra,Normalized - No search (retrieval gain),0.34160088745779243,0.011710171095579053,0.3186489521104575,0.36455282280512735,4.48598699207688e-187,2.24299349603844e-186
judge,treatment_only_all_arms,GPT-5.6 Terra,Wide - Normalized (result tier),0.01203912716322767,0.011709696816791692,-0.010911878597684046,0.03499013292413938,0.303887211409563,0.31988127516796105
judge,treatment_only_all_arms,GPT-5.6 Terra,Native - Normalized (implementation),-0.03611738148989434,0.011709696816792204,-0.059068387250807056,-0.013166375728981619,0.002039635964679509,0.003708429026690016
judge,treatment_only_all_arms,Claude Sonnet 5 - DeepSeek V4,difference in retrieval gain,-0.1805869074492024,0.0165600120495852,-0.21304453106638938,-0.1481292838320154,1.0909500650091085e-27,2.424333477798019e-27
judge,treatment_only_all_arms,Claude Sonnet 5 - GLM-5.2,difference in retrieval gain,-0.21821852563485036,0.016560347418727684,-0.25067680657555663,-0.1857602446941441,1.1876166326978704e-39,3.393190379136773e-39
judge,treatment_only_all_arms,Claude Sonnet 5 - GPT-5.6 Terra,difference in retrieval gain,0.20392206212835992,0.016560347418726088,0.1714637811876568,0.23638034306906305,7.627051730884545e-35,1.906762932721136e-34
judge,treatment_only_all_arms,DeepSeek V4 - GLM-5.2,difference in retrieval gain,-0.037631618185647975,0.016560347418727916,-0.07008989912635469,-0.005173337244941262,0.02306278182377985,0.030750375765039802
judge,treatment_only_all_arms,DeepSeek V4 - GPT-5.6 Terra,difference in retrieval gain,0.3845089695775623,0.016560347418726463,0.35205068863685846,0.41696725051826616,2.950857234074817e-119,9.836190780249391e-119
judge,treatment_only_all_arms,GLM-5.2 - GPT-5.6 Terra,difference in retrieval gain,0.4221405877632103,0.016561353485406355,0.3896803349318138,0.45460084059460676,2.5775030896009723e-143,1.031001235840389e-142
gated,treatment_only_all_arms,Claude Sonnet 5,Normalized - No search (retrieval gain),0.23401053423626839,0.011015012710477447,0.2124211093237326,0.2555999591488042,3.691280488713097e-100,2.4608536591420648e-99
gated,treatment_only_all_arms,Claude Sonnet 5,Wide - Normalized (result tier),-0.0016333165419547358,0.01101602248829805,-0.023224720619018913,0.01995808753510944,0.8821317757183963,0.9816967896038097
gated,treatment_only_all_arms,Claude Sonnet 5,Native - Normalized (implementation),-0.009084233082948954,0.011015197164787093,-0.030674019525931656,0.012505553360033748,0.40954193267473127,0.6825698877912189
gated,treatment_only_all_arms,DeepSeek V4,Normalized - No search (retrieval gain),0.3145221971407067,0.011015012710477565,0.2929327722281707,0.33611162205324274,2.5085312046976085e-179,2.508531204697608e-178
gated,treatment_only_all_arms,DeepSeek V4,Wide - Normalized (result tier),0.004643098332773036,0.01101602248829817,-0.016948305744291375,0.02623450240983745,0.6734002932085223,0.9620004188693178
