condition,n_rows,n_tasks,observed_accuracy,conditional_probability,log_odds,log_odds_sd,log_odds_ci_low,log_odds_ci_high
DeepSeek V4 | No search,1160,993,0.04913793103448276,0.00077462561509298,-7.162355796837196,0.1746845558802724,-7.50473752636253,-6.819974067311862
DeepSeek V4 | Normalized,1315,1119,0.3612167300380228,0.15706351809747712,-1.6802413100795879,0.10558555508348806,-1.8871889980432246,-1.4732936221159512
DeepSeek V4 | Wide,1324,1125,0.3632930513595166,0.16316681072274883,-1.6348516984833694,0.10514579691346705,-1.8409374604337647,-1.4287659365329741
GLM-5.2 | No search,1329,1129,0.014296463506395787,0.00012209965249037824,-9.010550915851054,0.2689183460606472,-9.537630874129922,-8.483470957572186
GLM-5.2 | Normalized,1328,1128,0.3561746987951807,0.15202762776573933,-1.7187857894023966,0.1050620884596861,-1.9247074827833814,-1.5128640960214117
GLM-5.2 | Wide,1329,1129,0.35590669676448455,0.15093207668440686,-1.7273092746844891,0.10496596312250807,-1.933042562404605,-1.5215759869643732
GPT-5.6 Terra | No search,1329,1129,0.2618510158013544,0.04325200865865667,-3.096496349569125,0.10348140954889049,-3.2993199122849504,-2.8936727868532994
GPT-5.6 Terra | Normalized,1329,1129,0.41911211437170803,0.3104902714003764,-0.7978282379391424,0.10420235445349589,-1.0020648526679943,-0.5935916232102905
GPT-5.6 Terra | Wide,1329,1129,0.417607223476298,0.3058096415594584,-0.8197833926274336,0.10424012585987737,-1.0240940393127933,-0.6154727459420739
GPT-5.6 Terra | Native,1329,1129,0.3860045146726862,0.21697451115211425,-1.2833853617550053,0.10485218921075973,-1.4888956526080943,-1.0778750709019163
Claude Sonnet 5 | No search,1328,1129,0.1197289156626506,0.004912796468902297,-5.310987049779904,0.11853762124505401,-5.5433207874202095,-5.078653312139598
Claude Sonnet 5 | Normalized,1328,1128,0.3539156626506024,0.14800461387584266,-1.750337663352455,0.10499428748353672,-1.956126466820187,-1.544548859884723
Claude Sonnet 5 | Wide,1329,1129,0.35214446952595935,0.14396026645193055,-1.7827794586769392,0.10494267621225159,-1.9884671040529522,-1.5770918133009262
Claude Sonnet 5 | Native,1326,1126,0.3453996983408748,0.1314900700844207,-1.8878476829240487,0.10505522252844703,-2.093755919079805,-1.6819394467682924
