model,comparison,log_odds_difference,posterior_sd,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,approx_posterior_probability_positive
DeepSeek V4,Normalized vs no search,5.4821144467197005,0.20411465363812006,240.35438699950475,161.10393659201156,358.58981829977375,1.0
DeepSeek V4,Wide vs normalized,0.04538961307446954,0.14901020442344537,1.046435485442159,0.7813982096315562,1.401368996876628,0.619667413783999
GLM-5.2,Normalized vs no search,7.291765239958515,0.2887128493665759,1468.1600659168892,833.7120301972657,2585.4178674176865,1.0
GLM-5.2,Wide vs normalized,-0.008523491075369094,0.14851245077365452,0.9915127308891003,0.741108756469195,1.3265225743639217,0.47711629480771856
GPT-5.6 Terra,Normalized vs no search,2.298668078225954,0.14685529122834112,9.960906467275933,7.469527225765891,13.283258049795242,1.0
GPT-5.6 Terra,Wide vs normalized,-0.0219551379176689,0.14739096083150607,0.9782841219295956,0.7328300780083942,1.3059505224191923,0.44079318591472827
GPT-5.6 Terra,Native vs normalized,-0.4855571433662976,0.14782438125764338,0.6153542606966083,0.4605688465137522,0.8221590952660384,0.0005104746888485723
Claude Sonnet 5,Normalized vs no search,3.5606494014183006,0.15835052712979758,35.18603959136036,25.797623318437214,47.991141154462696,1.0
Claude Sonnet 5,Wide vs normalized,-0.03244182018009001,0.14844778657495256,0.9680787708414633,0.7236846977011834,1.295006664547283,0.41350409062602345
Claude Sonnet 5,Native vs normalized,-0.13751004070707085,0.14852715417690318,0.8715255992199794,0.6514052915040686,1.1660280934193181,0.1772686620237302
