outcome,spec,term,estimate,se,ci_low,ci_high,z,p,std_effect,n_obs,n_groups
judge,treatment_only_all_arms,Intercept,0.8997511457863832,0.01769744804272531,0.8650647850043727,0.9344375065683936,50.84072820070991,0.0,1.880327121843042,18606,1129
judge,treatment_only_all_arms,cat_Arts_and_culture,0.05339972858076542,0.04282088016427071,-0.030527654327510763,0.13732711148904161,1.2470488316893962,0.21237959305104537,0.11159636575034619,18606,1129
judge,treatment_only_all_arms,cat_Business_and_economy,0.021878433616503008,0.036334027315725,-0.049334951335612526,0.09309181856861853,0.6021472221174404,0.5470761435399454,0.04572221141946752,18606,1129
judge,treatment_only_all_arms,cat_Disasters_and_accidents,-0.059740118917381735,0.026703706477123904,-0.11207842186627355,-0.007401815968489919,-2.2371470780117706,0.025276728900013055,-0.12484670499008269,18606,1129
judge,treatment_only_all_arms,cat_International_relations,0.028353467025430346,0.02519445487006032,-0.02102675713000765,0.07773369118086834,1.1253852155826565,0.26042583327210855,0.05925393181867275,18606,1129
judge,treatment_only_all_arms,cat_Law_and_crime,0.02112639351726951,0.021092727574514327,-0.020214592864493463,0.06246737989903248,1.0015960924274137,0.316538709003622,0.044150575304387756,18606,1129
judge,treatment_only_all_arms,cat_Other_small_categories,0.03030983057495036,0.041494478053877105,-0.05101785196793644,0.11163751311783716,0.7304545567628441,0.46511238069297256,0.06334239945728021,18606,1129
judge,treatment_only_all_arms,cat_Politics_and_elections,-0.012790591047999733,0.022797558328861236,-0.0574729843080189,0.031891802212019434,-0.5610509188524417,0.5747628258212903,-0.02673016351753191,18606,1129
judge,treatment_only_all_arms,cat_Sports,0.034096324768831864,0.03504699156964247,-0.03459451647414628,0.10278716601181001,0.9728745105290557,0.3306156747597606,0.07125552939637447,18606,1129
judge,treatment_only_all_arms,quant,-0.10189509106573165,0.014495269353241006,-0.13030529694429122,-0.07348488518717208,-7.029541058024483,2.0721397308022062e-12,-0.2129434390951586,18606,1129
judge,treatment_only_all_arms,age30,0.00028037401193239616,0.003161770374063269,-0.005916582048617346,0.006477330072482138,0.08867627270859667,0.9293391898684613,0.0005859340789565325,18606,1129
judge,treatment_only_all_arms,mdl_Claude_Sonnet_5,-0.05644275437833675,0.011710171095579069,-0.07939426797847367,-0.03349124077819983,-4.819976917301023,1.4357483252210942e-06,-0.1179557729780419,18606,1129
judge,treatment_only_all_arms,mdl_DeepSeek_V4,-0.042136945071544425,0.011709696816791945,-0.06508752910233995,-0.019186361040748896,-3.5984659321938364,0.0003200997713359638,-0.08805906057545203,18606,1129
judge,treatment_only_all_arms,mdl_GLM_5_2,-0.05717650822524824,0.011710171095579305,-0.08012802182538561,-0.034224994625110854,-4.882636449849387,1.046767561338239e-06,-0.11948919393067485,18606,1129
judge,treatment_only_all_arms,arm_No_search,-0.34160088745779243,0.011710171095579053,-0.3645524010579293,-0.31864937385765557,-29.17129772653426,4.48598699207688e-187,-0.7138878528141804,18606,1129
judge,treatment_only_all_arms,arm_Wide,0.01203912716322767,0.011709696816791692,-0.010911456867567363,0.0349897111940227,1.0281331234779345,0.303887211409563,0.025159731592838463,18606,1129
judge,treatment_only_all_arms,arm_Native,-0.03611738148989434,0.011709696816792204,-0.05906796552069037,-0.013166797459098302,-3.0843993704517163,0.002039635964679509,-0.07547919477895702,18606,1129
judge,treatment_only_all_arms,ix_Claude_Sonnet_5__No_search,-0.20392206212835992,0.016560347418726088,-0.2363797466405339,-0.17146437761618594,-12.313875848870731,7.627051730884545e-35,-0.42616248499132503,18606,1129
judge,treatment_only_all_arms,ix_Claude_Sonnet_5__Wide,0.019572927440787317,0.01656034741872609,-0.012884757071386675,0.05203061195296131,1.1819152669861661,0.2372393235779907,0.04090409497462993,18606,1129
judge,treatment_only_all_arms,ix_Claude_Sonnet_5__Native,0.03160670309608951,0.016560073309077907,-0.0008504441710462246,0.06406385036322525,1.9086088875441956,0.056312564568028585,0.06605264282456108,18606,1129
judge,treatment_only_all_arms,ix_DeepSeek_V4__No_search,-0.3845089695775623,0.016560347418726463,-0.41696665408973704,-0.3520512850653876,-23.218653561745874,2.950857234074817e-119,-0.8035584588855473,18606,1129
judge,treatment_only_all_arms,ix_DeepSeek_V4__Wide,0.01202978136294407,0.016560347418726463,-0.02042790314923065,0.04448746587511879,0.7264208327743642,0.467580823742207,0.025140200457111794,18606,1129
judge,treatment_only_all_arms,ix_GLM_5_2__No_search,-0.4221405877632103,0.016561353485406355,-0.4546002441298436,-0.38968093139657695,-25.489498073644462,2.5775030896009723e-143,-0.882202151249475,18606,1129
judge,treatment_only_all_arms,ix_GLM_5_2__Wide,0.009763394572040833,0.016561311428984045,-0.022696179365519473,0.04222296850960114,0.5895302804917889,0.5555056054943375,0.020403836884273465,18606,1129
gated,treatment_only_all_arms,Intercept,0.3836679254307643,0.023579478628819064,0.33745299654404703,0.4298828543174815,16.27126415602089,1.578646489755123e-59,0.8405103930047075,18606,1129
gated,treatment_only_all_arms,cat_Arts_and_culture,0.09591296859766169,0.06057354610585628,-0.022809000185693068,0.21463493738101644,1.5834134661696613,0.1133272556856561,0.21011880740293085,18606,1129
gated,treatment_only_all_arms,cat_Business_and_economy,-0.05417684679272118,0.05145448163200897,-0.15502577763463649,0.04667208404919414,-1.0529082224592594,0.2923830572486892,-0.11868649884761674,18606,1129
gated,treatment_only_all_arms,cat_Disasters_and_accidents,-0.08878702619420886,0.03775702752491694,-0.16278944030633358,-0.014784612082084161,-2.351536442735482,0.018696058129419994,-0.19450783694369742,18606,1129
gated,treatment_only_all_arms,cat_International_relations,0.04786823803530002,0.035621977447001366,-0.02194955481892072,0.11768603088952076,1.3437838510374314,0.17901829305837358,0.10486608052607042,18606,1129
gated,treatment_only_all_arms,cat_Law_and_crime,0.015518454949461807,0.02982708681080351,-0.04294156096346273,0.07397847086238635,0.52028061097274,0.6028680077192216,0.033996646067698914,18606,1129
gated,treatment_only_all_arms,cat_Other_small_categories,0.060483646867373925,0.05864344598194755,-0.05445539518656342,0.17542268892131127,1.0313794807691357,0.3023628993691134,0.1325029548450704,18606,1129
gated,treatment_only_all_arms,cat_Politics_and_elections,0.02127888275939342,0.032250394803518226,-0.04193072954270001,0.08448849506148685,0.6598022408417799,0.50938074513573,0.046616151430219986,18606,1129
gated,treatment_only_all_arms,cat_Sports,0.1844139382374932,0.0495267370519542,0.08734331734387751,0.28148455913110887,3.7235228729896046,0.0001964620529589633,0.40399997349143146,18606,1129
gated,treatment_only_all_arms,quant,0.04597741362341108,0.02049810554870089,0.0058018649966566985,0.08615296225016547,2.243007945986745,0.024896302108398483,0.10072380679350515,18606,1129
gated,treatment_only_all_arms,age30,-0.0038527693962734596,0.004474573235271618,-0.0126227717835927,0.0049172329910457824,-0.8610361689698853,0.38921812286787105,-0.008440352984374476,18606,1129
