outcome,block,r2_marginal,r2_conditional,icc_task_empty,icc_task_full,var_task_empty,var_resid_empty,delta_r2_sequential,delta_r2_unique,wald_chi2,wald_df,wald_p,n_obs,n_groups
judge,__full_model__,0.38179682215497923,0.6025205336101954,0.20962732666772071,0.3570407260354622,0.047897037430700964,0.18058957350920923,,,,,,18606,1129
judge,task_context,0.015027831453359883,,,,,,0.015027831453359883,0.014088655333705513,68.25968257881425,10.0,9.600202904576292e-11,18606,1129
judge,model_identity,0.045558490720800114,,,,,,0.03053065926744023,0.0006490870478674249,31.585589202199195,3.0,6.398973429928008e-07,18606,1129
judge,retrieval_arm,0.35703492929419134,,,,,,0.31147643857339125,0.026320365353703967,1235.4430788428238,3.0,1.4967408500560117e-267,18606,1129
judge,model_x_arm,0.38179682215497923,,,,,,0.024761892860787893,0.024761892860787893,1163.6760074812669,7.0,5.049652110839928e-247,18606,1129
gated,__full_model__,0.09918580218327704,0.6144671929951464,0.5257612303652082,0.5720173949974832,0.10937108167427119,0.09865316080990559,,,,,,18606,1129
gated,task_context,0.017921666020010548,,,,,,0.017921666020010548,0.01756007449012517,37.93009484454761,10.0,3.9029890724021506e-05,18606,1129
gated,model_identity,0.030286086455016858,,,,,,0.01236442043500631,0.0010242305940467156,49.890888787639916,3.0,8.428279428321939e-11,18606,1129
gated,retrieval_arm,0.09411883857342525,,,,,,0.06383275211840839,0.0058290552272131785,274.44474831369905,3.0,3.371487254251995e-59,18606,1129
gated,model_x_arm,0.09918580218327704,,,,,,0.005066963609851788,0.005066963609851788,249.2220980538955,7.0,4.0565250694831286e-50,18606,1129
used_searches,__full_model__,0.5997042694333131,0.7227089860006286,0.08388037633423838,0.30728460779029876,0.14610408320270027,1.5957107439091727,,,,,,18606,1129
used_searches,task_context,0.0030037418605511337,,,,,,0.0030037418605511337,0.002114178475127737,22.968715503220626,10.0,0.010862645533619437,18606,1129
used_searches,model_identity,0.01172096372757629,,,,,,0.008717221867025157,0.008298704977620752,558.7535689227019,3.0,8.800949582443792e-121,18606,1129
used_searches,retrieval_arm,0.5893571706493911,,,,,,0.5776362069218148,0.10520502814774352,7083.957752823253,3.0,0.0,18606,1129
used_searches,model_x_arm,0.5997042694333131,,,,,,0.010347098783922037,0.010347098783922037,699.8370605919833,7.0,7.477550274784443e-147,18606,1129
log_latency,__full_model__,0.3091318653435182,0.36980229125718866,0.0544412039366354,0.08781766428384687,0.04963597158248653,0.8620994051784366,,,,,,18606,1129
log_latency,task_context,0.010406559281061182,,,,,,0.010406559281061182,0.009284625981508365,103.48403929449746,10.0,1.0916968042104448e-17,18606,1129
log_latency,model_identity,0.042318592417013176,,,,,,0.03191203313595199,0.0036900031282179335,110.88869534537343,3.0,7.064383857420789e-24,18606,1129
log_latency,retrieval_arm,0.19080479678414844,,,,,,0.14848620436713528,0.006592685349237404,223.64359951347217,3.0,3.273834734595698e-48,18606,1129
log_latency,model_x_arm,0.3091318653435182,,,,,,0.11832706855936978,0.11832706855936978,3500.2964457900407,7.0,0.0,18606,1129
log_answer_words,__full_model__,0.6422194611511756,0.7516250324341552,0.07184224953346494,0.30578960956064627,0.13885896318407126,1.7939725403643967,,,,,,18606,1129
log_answer_words,task_context,0.004921952409316434,,,,,,0.004921952409316434,0.004295528050642705,45.75012082627545,10.0,1.5917179133113882e-06,18606,1129
log_answer_words,model_identity,0.25244402815855826,,,,,,0.24752207574924184,0.1345008501450955,10083.074376283335,3.0,0.0,18606,1129
log_answer_words,retrieval_arm,0.5600052330486263,,,,,,0.307561204890068,0.013144281072142827,988.9686099784042,3.0,4.447999658226888e-214,18606,1129
log_answer_words,model_x_arm,0.6422194611511756,,,,,,0.0822142281025493,0.0822142281025493,6167.902806716425,7.0,0.0,18606,1129
snippet_sufficiency,__full_model__,0.0355477987110137,0.819309367514738,0.8176790045786183,0.8126494685337753,0.08816505361992757,0.019658497096483988,,,,,,10632,1129
snippet_sufficiency,task_context,0.03497316241690508,,,,,,0.03497316241690508,0.03507797983247784,49.8449813430706,10.0,2.8501142699927015e-07,10632,1129
snippet_sufficiency,model_identity,0.035157623130537254,,,,,,0.0001844607136321716,-4.0057855358786865e-05,4.633815153454449,3.0,0.20066036708389767,10632,1129
snippet_sufficiency,retrieval_arm,0.03550876054369867,,,,,,0.00035113741316141617,1.536790879600597e-05,0.939779091466196,1.0,0.3323346601521982,10632,1129
snippet_sufficiency,model_x_arm,0.0355477987110137,,,,,,3.903816731502807e-05,3.903816731502807e-05,1.191166560377181,3.0,0.7551237058109367,10632,1129
evidence_precision,__full_model__,0.05307804093813298,0.822481627772723,0.8160721739717558,0.812531148392474,0.010767320752427804,0.0024267582712744072,,,,,,10519,1129
