outcome,path,mediator,estimate,se,p,n_obs
judge,total_wide_effect,-,0.02658453749872238,0.0050058424896066165,1.0920379552131645e-07,9493
snippet_sufficiency,a_wide_to_mediator,snippet_sufficiency,0.011877938513294928,0.00258079084200251,4.175671503138149e-06,9493
evidence_precision,a_wide_to_mediator,evidence_precision,-0.01212538681639622,0.0008075693361417312,5.885433781184536e-51,9493
temporal_grounding,a_wide_to_mediator,temporal_grounding,-0.08325746895637,0.0033986827504537574,1.590703937219724e-132,9493
domain_entropy,a_wide_to_mediator,domain_entropy,-0.05888955559903207,0.0011157146920139699,0.0,9493
compression_redundancy,a_wide_to_mediator,compression_redundancy,-0.06591915911653143,0.0009285566743152522,0.0,9493
used_searches,a_wide_to_mediator,used_searches,-0.16906402059371325,0.014239063076031677,1.6300072336393516e-32,9493
log_answer_words,a_wide_to_mediator,log_answer_words,0.0549767087624443,0.01404243766217715,9.03891248121887e-05,9493
judge,b_mediator_to_outcome_per_SD,snippet_sufficiency,0.005074916382126489,0.00595085766749835,0.393767897252956,9493
judge,b_mediator_to_outcome_per_SD,evidence_precision,0.01551474243167203,0.005905464916027296,0.008609478736417039,9493
judge,b_mediator_to_outcome_per_SD,temporal_grounding,0.003909660939852307,0.0035942015062846,0.27669710279142357,9493
judge,b_mediator_to_outcome_per_SD,domain_entropy,0.001313650181891527,0.004087582937308704,0.747925630164272,9493
judge,b_mediator_to_outcome_per_SD,compression_redundancy,-0.005081664930855258,0.00405172925644595,0.20977056674825012,9493
judge,b_mediator_to_outcome_per_SD,used_searches,-0.040655415273311755,0.004004149237818923,3.202730774040644e-24,9493
judge,b_mediator_to_outcome_per_SD,log_answer_words,0.004412717383034342,0.004807909939932995,0.3587216610771349,9493
judge,direct_wide_effect_adj_mediators,all,0.018526974379464614,0.007159802383067268,0.009663656985629675,9493
judge,implied_indirect_share,all,0.30309209327583764,,,9493
gated,total_wide_effect,-,0.0003295557251002028,0.0046979761550248736,0.9440755075688474,9493
snippet_sufficiency,a_wide_to_mediator,snippet_sufficiency,0.011877938513294928,0.00258079084200251,4.175671503138149e-06,9493
evidence_precision,a_wide_to_mediator,evidence_precision,-0.01212538681639622,0.0008075693361417312,5.885433781184536e-51,9493
temporal_grounding,a_wide_to_mediator,temporal_grounding,-0.08325746895637,0.0033986827504537574,1.590703937219724e-132,9493
domain_entropy,a_wide_to_mediator,domain_entropy,-0.05888955559903207,0.0011157146920139699,0.0,9493
compression_redundancy,a_wide_to_mediator,compression_redundancy,-0.06591915911653143,0.0009285566743152522,0.0,9493
used_searches,a_wide_to_mediator,used_searches,-0.16906402059371325,0.014239063076031677,1.6300072336393516e-32,9493
log_answer_words,a_wide_to_mediator,log_answer_words,0.0549767087624443,0.01404243766217715,9.03891248121887e-05,9493
gated,b_mediator_to_outcome_per_SD,snippet_sufficiency,0.03753652744123481,0.0060922049291668315,7.21034035565833e-10,9493
gated,b_mediator_to_outcome_per_SD,evidence_precision,0.03352029812726868,0.005976800112304021,2.0420318931468198e-08,9493
gated,b_mediator_to_outcome_per_SD,temporal_grounding,-0.006481093037495149,0.00346233159478877,0.06122225704783063,9493
gated,b_mediator_to_outcome_per_SD,domain_entropy,0.00428927634201672,0.00393389809963345,0.2755645331693124,9493
gated,b_mediator_to_outcome_per_SD,compression_redundancy,0.0010559398639516852,0.003888299153103998,0.7859537643864847,9493
gated,b_mediator_to_outcome_per_SD,used_searches,-0.015920979166651205,0.003816527702692205,3.0248489040168556e-05,9493
gated,b_mediator_to_outcome_per_SD,log_answer_words,0.005565587248180912,0.00460934658053619,0.22725624099206942,9493
gated,direct_wide_effect_adj_mediators,all,0.001960551442901401,0.006809179403983045,0.7734020740354617,9493
gated,implied_indirect_share,all,-4.949074143091543,,,9493
