model,arm,n_rows,n_tasks,gated,judge,qa_match,searches,latency_mean_s,latency_p95_s,answer_words,zero_search,degraded,refused,truncated
GLM-5.2,No search,1329,1129,0.014296463506395787,0.02784048156508653,,0.0,2.4129385790311817,4.207843828201294,5.035364936042137,0.0,0.0,0.0,0.0
GLM-5.2,Normalized,1329,1129,0.35590669676448455,0.7915726109857035,0.35590669676448455,2.5199398043641836,10.880994542547416,21.11752123832702,78.86305492851768,0.0,0.0,0.0,0.0007524454477050414
GLM-5.2,Wide,1329,1129,0.35590669676448455,0.8133935289691497,0.35741158765989467,2.4070729872084273,12.785357626512411,24.639773368835442,82.86681715575621,0.0,0.0,0.0,0.0
DeepSeek V4,No search,1329,1129,0.04288939051918736,0.08051166290443942,,0.0,20.129154127643375,84.59576048851012,12.281414597441685,0.0,0.0,0.0,0.127163280662152
DeepSeek V4,Normalized,1329,1129,0.35741158765989467,0.8066215199398044,0.35741158765989467,2.5763732129420616,12.330288369284258,33.435521268844575,38.26260346124906,0.002257336343115124,0.0030097817908201654,0.0,0.010534236267870579
DeepSeek V4,Wide,1329,1129,0.3619262603461249,0.8306997742663657,0.36267870579382994,2.393528969149737,11.580935142738108,22.472720050811763,39.60872836719338,0.0007524454477050414,0.009029345372460496,0.0,0.003762227238525207
GPT-5.6 Terra,No search,1329,1129,0.2618510158013544,0.5071482317531979,,0.0,11.664658332785958,33.4508771896362,4.109104589917231,0.0,0.0,0.0,0.0
GPT-5.6 Terra,Normalized,1329,1129,0.41911211437170803,0.8487584650112867,0.4198645598194131,2.0443942814145974,9.67182397734769,21.606819534301753,6.879608728367193,0.0,0.0,0.0,0.0
GPT-5.6 Terra,Wide,1329,1129,0.417607223476298,0.8607975921745673,0.418359668924003,1.762979683972912,8.873886070366279,20.327802801132197,7.099322799097066,0.0015048908954100827,0.0,0.0,0.0
GPT-5.6 Terra,Native,1329,1129,0.3860045146726862,0.8126410835214447,,1.6854778028592927,13.613010398600673,31.90150241851806,10.471030850263356,0.0007524454477050414,0.01655379984951091,0.0,0.0
Claude Sonnet 5,No search,1329,1129,0.11963882618510158,0.24680210684725357,,0.0,5.385585270042792,13.20755281448363,8.415349887133182,0.0,0.0,0.0030097817908201654,0.0007524454477050414
Claude Sonnet 5,Normalized,1329,1129,0.35364936042136946,0.7923250564334086,0.35364936042136946,2.1708051166290443,12.826259077716538,27.62080760002136,27.00752445447705,0.03611738148984198,0.0,0.0015048908954100827,0.0007524454477050414
Claude Sonnet 5,Wide,1329,1129,0.35214446952595935,0.8239277652370203,0.35289691497366443,2.0850263355906695,10.749591072131315,23.47781939506529,27.939051918735892,0.04439428141459744,0.0,0.002257336343115124,0.0
Claude Sonnet 5,Native,1329,1129,0.34462001504890893,0.7878103837471784,,2.3160270880361176,14.291577142912073,31.596398115158046,85.28668171557563,0.009029345372460496,0.0,0.0015048908954100827,0.002257336343115124
